City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
201,201,Banfora,10.6333,-4.7667,78.51,17,9,7.4,BF,2022-03-08 05:46:22,Residences David Hebié
203,203,Ambilobe,-13.2,49.05,81.12,85,100,4.83,MG,2022-03-08 05:46:23,Hôtel & Restaurant DIANA Ambilobe
204,204,Lashio,22.9333,97.75,91.81,21,30,4.81,MM,2022-03-08 05:46:23,Hotel CF Lashio - Burmese Only
211,211,Butaritari,3.0707,172.7902,80.71,82,91,16.93,KI,2022-03-08 05:46:27,Isles Sunset Lodge
216,216,Viedma,-40.8135,-62.9967,61.77,55,39,7.87,AR,2022-03-08 05:46:30,Hotel Cristal
217,217,Bilma,18.6853,12.9164,79.52,12,97,11.25,NE,2022-03-08 05:46:31,Expeditions Ténére voyages
218,218,Rio Grande,-32.035,-52.0986,68.11,86,77,5.12,BR,2022-03-08 05:44:52,Hotel Atlântico Rio Grande
219,219,Sambava,-14.2667,50.1667,80.76,78,100,5.1,MG,2022-03-08 05:46:32,Melrose
221,221,Abonnema,4.7084,6.7931,79.92,85,99,2.82,NG,2022-03-08 05:46:33,Corper's Lodge Obonoma
228,228,Saint-Pierre,-21.3393,55.4781,85.91,68,99,2.3,RE,2022-03-08 05:47:36,Lindsey Hôtel
231,231,Cabedelo,-6.9811,-34.8339,75.87,80,80,6.89,BR,2022-03-08 05:47:37,Hotel Pigalle
232,232,Bac Lieu,9.285,105.7244,87.28,54,38,20.51,VN,2022-03-08 05:47:38,Khách sạn Sài Gòn Bạc Liêu
233,233,Aripuana,-9.1667,-60.6333,71.76,100,100,2.57,BR,2022-03-08 05:47:38,
234,234,Sola,-13.8833,167.55,83.98,71,75,7.7,VU,2022-03-08 05:47:39,Leumerus Bungalows
235,235,Mattru,7.6244,-11.8332,73.71,79,5,1.16,SL,2022-03-08 05:47:40,"Mondkor Town, Bagbo Chiefdom, Bo District"
236,236,Tabas,33.5959,56.9244,61.02,63,40,2.3,IR,2022-03-08 05:47:40,شرکت معماری مهراز شایگان آراد
